Order ID,Date,Product,Category,Sales ($),Quantity
1,1/1/2024,Laptop,Tech,1200,1
2,1/2/2024,Phone,Tech,800,2
3,1/3/2024,Chair,Furniture,150,4
4,1/4/2024,Desk,Furniture,300,1
5,1/5/2024,Headphones,Tech,200,3
6,1/6/2024,Monitor,Tech,400,2
7,1/7/2024,Printer,Tech,500,1
8,1/8/2024,Sofa,Furniture,700,1
9,1/9/2024,Table,Furniture,350,2
10,1/10/2024,Lamp,Furniture,80,5
11,1/11/2024,Camera,Tech,650,1
12,1/12/2024,Mouse,Tech,50,6
13,1/13/2024,Keyboard,Tech,100,4
14,1/14/2024,Rug,Furniture,120,2
15,1/15/2024,Shelf,Furniture,200,1
16,1/16/2024,Tablet,Tech,700,1
17,1/17/2024,TV,Tech,1500,1
18,1/18/2024,Blender,Appliances,120,3
19,1/19/2024,Toaster,Appliances,60,2
20,1/20/2024,Microwave,Appliances,300,1
21,1/21/2024,Fridge,Appliances,2000,1
22,1/22/2024,Washer,Appliances,1000,1
23,1/23/2024,Dryer,Appliances,1000,1
24,1/24/2024,Mixer,Appliances,150,2
25,1/25/2024,Fan,Appliances,100,3
26,1/26/2024,Sofa,Furniture,750,1
27,1/27/2024,Dining Set,Furniture,1200,1
28,1/28/2024,Coffee Table,Furniture,400,2
29,1/29/2024,TV Stand,Furniture,250,1
30,1/30/2024,Office Chair,Furniture,180,2
31,2/1/2024,Smartwatch,Tech,300,2
32,2/2/2024,Earbuds,Tech,150,3
33,2/3/2024,Desktop PC,Tech,1000,1
34,2/4/2024,Scanner,Tech,400,1
35,2/5/2024,Floor Lamp,Furniture,100,2
36,2/6/2024,Dresser,Furniture,600,1
37,2/7/2024,Bed Frame,Furniture,800,1
38,2/8/2024,Cooktop,Appliances,500,1
39,2/9/2024,Oven,Appliances,900,1
40,2/10/2024,Dishwasher,Appliances,850,1
41,2/11/2024,Projector,Tech,700,1
42,2/12/2024,VR Headset,Tech,600,1
43,2/13/2024,Patio Set,Furniture,1300,1
44,2/14/2024,Grill,Appliances,400,1
45,2/15/2024,Mattress,Furniture,900,1
46,2/16/2024,Recliner,Furniture,700,1
47,2/17/2024,Soundbar,Tech,350,1
48,2/18/2024,Router,Tech,120,2
49,2/19/2024,Air Purifier,Appliances,300,1
50,2/20/2024,Heater,Appliances,200,1
